# Prepared plot of model file 
version=0x1.999999999999ap-3
baseType=matrix
type=doubleMatrix
numRows=80
numCols=3
0x1.91b72c7045195p+0 0x1.c02400a693122p+0 0x1.0d3fbef02b0b6p+1 
0x1.8666e4d1d412dp+0 0x1.c02400a693122p+0 0x1.245111c02555ap+1 
0x1.7b169d33630c5p+0 0x1.c02400a693122p+0 0x1.3c913430da5dfp+1 
0x1.6fc65594f205dp+0 0x1.c02400a693122p+0 0x1.5560aacf03548p+1 
0x1.64760df680ff5p+0 0x1.c02400a693122p+0 0x1.6e03bb19eecap+1 
0x1.5925c6580ff8dp+0 0x1.c02400a693122p+0 0x1.85badbc4360abp+1 
0x1.4dd57eb99ef25p+0 0x1.c02400a693122p+0 0x1.9bdaa35051c0cp+1 
0x1.4285371b2debdp+0 0x1.c02400a693122p+0 0x1.afc9d8d50f676p+1 
0x1.3734ef7cbce55p+0 0x1.c02400a693122p+0 0x1.c0ccd4e24b2e1p+1 
0x1.2be4a7de4bdedp+0 0x1.c02400a693122p+0 0x1.cda3cabeb3dbap+1 
0x1.2094603fdad85p+0 0x1.c02400a693122p+0 0x1.d442c2106dbc8p+1 
0x1.154418a169d1dp+0 0x1.c02400a693122p+0 0x1.d2300521b97e4p+1 
0x1.09f3d102f8cb5p+0 0x1.c02400a693122p+0 0x1.c5d8c55b2cfbap+1 
0x1.fd4712c90f899p-1 0x1.c02400a693122p+0 0x1.aff2fb5194fd2p+1 
0x1.e6a6838c2d7c8p-1 0x1.c02400a693122p+0 0x1.935d8bc4c1e6ap+1 
0x1.d005f44f4b6f7p-1 0x1.c02400a693122p+0 0x1.73a0918bdb981p+1 
0x1.b965651269626p-1 0x1.c02400a693122p+0 0x1.53a00df73351cp+1 
0x1.a2c4d5d587555p-1 0x1.c02400a693122p+0 0x1.35381c298ebfap+1 
0x1.8c244698a5484p-1 0x1.c02400a693122p+0 0x1.1968fc5bbd414p+1 
0x1.7583b75bc33b3p-1 0x1.c02400a693122p+0 0x1.00a2434cdba61p+1 
0x1.5ee3281ee12e2p-1 0x1.c02400a693122p+0 0x1.d5fd1603e3cb8p+0 
0x1.484298e1ff211p-1 0x1.c02400a693122p+0 0x1.b0d317f753c01p+0 
0x1.31a209a51d14p-1 0x1.c02400a693122p+0 0x1.916ca087916bfp+0 
0x1.1b017a683b06fp-1 0x1.c02400a693122p+0 0x1.77574b8545129p+0 
0x1.0460eb2b58f9ep-1 0x1.c02400a693122p+0 0x1.62160a7039e27p+0 
0x1.db80b7dcedd9bp-2 0x1.c02400a693122p+0 0x1.5128d986a2c8ep+0 
0x1.ae3f996329bfap-2 0x1.c02400a693122p+0 0x1.44112072b774p+0 
0x1.80fe7ae965a59p-2 0x1.c02400a693122p+0 0x1.3a543543db174p+0 
0x1.53bd5c6fa18b8p-2 0x1.c02400a693122p+0 0x1.337cbeae7944bp+0 
0x1.267c3df5dd717p-2 0x1.c02400a693122p+0 0x1.2f1b52c294d07p+0 
0x1.f2763ef832aecp-3 0x1.c02400a693122p+0 0x1.2cc68790a9467p+0 
0x1.97f40204aa7aap-3 0x1.c02400a693122p+0 0x1.2c1aa6e4e77cfp+0 
0x1.3d71c51122468p-3 0x1.c02400a693122p+0 0x1.2cb945591633fp+0 
0x1.c5df103b3424bp-4 0x1.c02400a693122p+0 0x1.2e490fa252edfp+0 
