version=0.200000
baseType=matrix
type=doubleMatrix
numRows=42
numCols=3
-0x1.b5dde90792dccp-4 -0x1.28df00bcac53ap+0 0x1.999999999999ap-4 
0x1.6916e57180b07p+0 -0x1.550b3c5d7fcdap-4 0x1.999999999999ap-4 
-0x1.86a4a6b212adcp+0 -0x1.28fbf54b1d814p-2 0x1.999999999999ap-4 
0x1.65ac672910e7ep+0 -0x1.165a13052b21bp-3 0x1.999999999999ap-4 
0x1.1bb93c9d53f9ap-3 -0x1.8d880de711dedp+0 0x1.999999999999ap-4 
0x1.7ccea5a4bafe9p-3 -0x1.9992f432cf9c1p+0 0x1.999999999999ap-4 
0x1.1e4fe9b52e0dcp+0 0x1.9720e5a74b422p+0 0x1.999999999999ap-4 
-0x1.5512d6965594bp-4 -0x1.1dcce7e78e22dp+0 0x1.999999999999ap-4 
0x1.7e9ab2fc53eb9p-5 -0x1.9d1d364a50fd5p+0 0x1.999999999999ap-4 
0x1.40b3b58d52bafp-5 -0x1.975f936380b0fp+0 0x1.999999999999ap-4 
-0x1.519afe0e9d6a5p-3 -0x1.276b7aee8660fp+0 0x1.999999999999ap-4 
-0x1.7c0b20c723e36p-1 -0x1.e70de3df17626p-1 0x1.999999999999ap-4 
-0x1.73f7c99e3273p-1 -0x1.a690dce98feebp-1 0x1.999999999999ap-4 
-0x1.c36ea675d780dp+0 0x1.dac2780c1c452p-2 0x1.999999999999ap-4 
-0x1.94018b86aa0a1p-1 -0x1.adc07979f013fp-1 0x1.999999999999ap-4 
0x1.58325054b53a8p+0 -0x1.18af3c649f4d2p-9 0x1.999999999999ap-4 
0x1.6116f8bb1d994p+0 -0x1.c61da0effbd34p-4 0x1.999999999999ap-4 
-0x1.4a116eba87696p-3 -0x1.2832e9ada01edp+0 0x1.999999999999ap-4 
0x1.1e6044456a383p+0 0x1.8a3ac81a3f835p+0 0x1.999999999999ap-4 
0x1.6362a1e018afep+0 -0x1.5b3d0caf2b39ep-4 0x1.999999999999ap-4 
-0x1.86ec0bf6c6b47p-1 -0x1.cef3cc5f00e36p-1 0x1.999999999999ap-4 
-0x1.783c9c05cac81p-1 -0x1.c18c8e76d3b6dp-1 0x1.999999999999ap-4 
-0x1.a639bb0662fb9p-4 -0x1.2d48b56f16ec1p+0 0x1.999999999999ap-4 
-0x1.8f6947e019473p-3 -0x1.30229fe48fc4fp+0 0x1.999999999999ap-4 
0x1.1e7ae37cc3966p+0 0x1.7f0c11d2d5817p+0 0x1.999999999999ap-4 
-0x1.9d14470305101p+0 -0x1.e0ffd3cc35912p-3 0x1.999999999999ap-4 
-0x1.796abecfacd32p-1 -0x1.c65d1bbdc2cacp-1 0x1.999999999999ap-4 
0x1.14f143421f7p-4 -0x1.9665179a16348p+0 0x1.999999999999ap-4 
-0x1.343124e706a67p-3 -0x1.2b1899aba2188p+0 0x1.999999999999ap-4 
0x1.6153b53c14c0bp+0 -0x1.47e90b18cb292p-5 0x1.999999999999ap-4 
-0x1.8e8777bf9bc47p-4 -0x1.22fc1706b6f7ep+0 0x1.999999999999ap-4 
-0x1.8817868bdc0b6p+0 -0x1.67969ce357546p-2 0x1.999999999999ap-4 
-0x1.db8ddfd4abc98p-4 -0x1.2487842c5fc6ap+0 0x1.999999999999ap-4 
-0x1.40aa87a8bd38fp-5 -0x1.18394baaec808p+0 0x1.999999999999ap-4 
-0x1.8c5791c809019p-4 -0x1.31114845bcb57p+0 0x1.999999999999ap-4 
-0x1.6dcdec746e393p-1 -0x1.b90d85d819cf9p-1 0x1.999999999999ap-4 
-0x1.3d4b2b66e62dfp-5 -0x1.211de90f682e2p+0 0x1.999999999999ap-4 
0x1.3e9598da6558ap+0 0x1.87e2f64d36de7p+0 0x1.999999999999ap-4 
0x1.5be188d59dd83p+0 -0x1.d36caca4c9686p-4 0x1.999999999999ap-4 
-0x1.763dfbc232ba5p-5 -0x1.94e357d002c2ap+0 0x1.999999999999ap-4 
-0x1.21ff79fa25929p-4 -0x1.12f7e54befdfap+0 0x1.999999999999ap-4 
-0x1.b5850199729cep-4 -0x1.301818151cc5fp+0 0x1.999999999999ap-4 
